window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
cue_target,AF3,Intercept,1.3298967999580427,0.03699744172172194,35.94564213279735,5.920467941249258e-283,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,group[T.experimental],-0.05854969029248499,0.04959269689004589,-1.1806111376095967,0.2377572370840244,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,half[T.second],-0.009242146618848025,0.004376573908346854,-2.1117309595118945,0.0347095319784275,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,f,0.0013088792124295845,0.012225702603754586,0.10705963124177582,0.9147416726465463,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,group[T.experimental]:f,-0.015217930094243168,0.01714058226785141,-0.8878304048506954,0.3746319851684158,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,f2,0.005210386343049518,0.03191164169645523,0.1632754087868908,0.8703015950122035,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,group[T.experimental]:f2,-0.049131541325522006,0.04505509683838371,-1.0904768777162066,0.27550313329299725,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF3,mean_trial_difficulty,0.07953964576018586,0.027674867633608137,2.8740750204562335,0.00405212699115296,70,5385,1 + f + f2,True,2049.2184175636394,-4068.4368351272788,-3969.5662462834216
cue_target,AF4,Intercept,1.3190645113913535,0.03615822149113997,36.48034823047285,2.2728702883680975e-291,70,5379,1 + f + f2,True,2059.788569875658,-4089.5771397513163,-3990.7232733172177
cue_target,AF4,group[T.experimental],-0.04301829377509969,0.048379880729697705,-0.8891773424462612,0.3739077776988041,70,5379,1 + f + f2,True,2059.788569875658,-4089.5771397513163,-3990.7232733172177
cue_target,AF4,half[T.second],-0.004412292072049905,0.004371557945700019,-1.0093179884278907,0.3128221558235271,70,5379,1 + f + f2,True,2059.788569875658,-4089.5771397513163,-3990.7232733172177
